Epoch 1000: mmse = 4.9833
Epoch 2000: mmse = 4.1037
Epoch 3000: mmse = 3.6745
Epoch 4000: mmse = 3.3791
Epoch 5000: mmse = 3.1700
Epoch 6000: mmse = 3.0126
Epoch 7000: mmse = 2.8904
Epoch 8000: mmse = 2.8006
Epoch 9000: mmse = 2.7377
Epoch 10000: mmse = 2.6938
Epoch 11000: mmse = 2.6463
Epoch 12000: mmse = 2.6039
Epoch 13000: mmse = 2.5529
Epoch 14000: mmse = 2.5105
Epoch 15000: mmse = 2.4692
Epoch 16000: mmse = 2.4303
Epoch 17000: mmse = 2.4010
Epoch 18000: mmse = 2.3796
Epoch 19000: mmse = 2.3434
Epoch 20000: mmse = 2.3309
Epoch 21000: mmse = 2.3053
Epoch 22000: mmse = 2.2757
Epoch 23000: mmse = 2.2534
Epoch 24000: mmse = 2.2301
Epoch 25000: mmse = 2.2036
Epoch 26000: mmse = 2.1841
Epoch 27000: mmse = 2.1663
Epoch 28000: mmse = 2.1484
Epoch 29000: mmse = 2.1407
Epoch 30000: mmse = 2.1203
Epoch 31000: mmse = 2.1218
Epoch 32000: mmse = 2.1008
Epoch 33000: mmse = 2.0898
Epoch 34000: mmse = 2.0773
Epoch 35000: mmse = 2.0700
Epoch 36000: mmse = 2.0509
Epoch 37000: mmse = 2.0406
Epoch 38000: mmse = 2.0195
Epoch 39000: mmse = 2.0045
Epoch 40000: mmse = 1.9893
Epoch 41000: mmse = 1.9721
Epoch 42000: mmse = 1.9562
Epoch 43000: mmse = 1.9419
Epoch 44000: mmse = 1.9344
Epoch 45000: mmse = 1.9249
Epoch 46000: mmse = 1.9176
Epoch 47000: mmse = 1.9012
Epoch 48000: mmse = 1.8963
Epoch 49000: mmse = 1.8840
Epoch 50000: mmse = 1.8906
Sample 825, Predict 70.3055, Real 73.7000, Error 3.3945
Sample 826, Predict 34.1584, Real 35.7600, Error 1.6016
Sample 827, Predict 20.2061, Real 21.0200, Error 0.8139
Sample 828, Predict 46.6638, Real 53.9000, Error 7.2362
Sample 829, Predict 33.3934, Real 31.8100, Error 1.5834
Sample 830, Predict 75.5472, Real 57.2300, Error 18.3172
Sample 831, Predict 11.6485, Real 18.0300, Error 6.3815
Sample 832, Predict 35.9022, Real 37.4400, Error 1.5378
Sample 833, Predict 20.0676, Real 19.7700, Error 0.2976
Sample 834, Predict 31.6979, Real 39.8400, Error 8.1421
Sample 835, Predict 38.2662, Real 36.5900, Error 1.6762
Sample 836, Predict 34.9298, Real 33.0400, Error 1.8898
Sample 837, Predict 41.0608, Real 44.5200, Error 3.4592
Sample 838, Predict 41.6624, Real 42.3500, Error 0.6876
Sample 839, Predict 48.8324, Real 51.0600, Error 2.2276
Sample 840, Predict 42.6657, Real 43.0100, Error 0.3443
Sample 841, Predict 34.5433, Real 33.3600, Error 1.1833
Sample 842, Predict 24.5550, Real 23.6900, Error 0.8650
Sample 843, Predict 35.9022, Real 39.4900, Error 3.5878
Sample 844, Predict 54.7053, Real 62.9400, Error 8.2347
Sample 845, Predict 40.2598, Real 40.0600, Error 0.1998
Sample 846, Predict 14.1129, Real 17.2200, Error 3.1071
Sample 847, Predict 31.8844, Real 32.6600, Error 0.7756
Sample 848, Predict 55.6083, Real 59.0900, Error 3.4817
Sample 849, Predict 39.0617, Real 37.4300, Error 1.6317
Sample 850, Predict 14.0127, Real 8.4900, Error 5.5227
Sample 851, Predict 18.7244, Real 17.5400, Error 1.1844
Sample 852, Predict 64.3035, Real 65.2000, Error 0.8965
Sample 853, Predict 50.1936, Real 51.7200, Error 1.5264
Sample 854, Predict 8.1978, Real 9.3100, Error 1.1122
Sample 855, Predict 33.5840, Real 31.0200, Error 2.5640
